,song,analysis_url,track_href,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,International,Unknown,electronic,folk,hip hop,house,indie,latino,metal,pop,punk,r&b,rap,rock,global,global_100,global_top,popularity
67,Can't Hold Us - feat. Ray Dalton,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,spotify:track:3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,0.0291,0.6409999999999999,258343,0.922,0.0,2,0.0862,-4.457,1,0.0786,146.078,0.847,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,False,False,83
68,Side To Side,https://api.spotify.com/v1/audio-analysis/1pKeFVVUOPjFsOABub0OaV,https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV,spotify:track:1pKeFVVUOPjFsOABub0OaV,Ariana Grande,0.0373,0.65,226160,0.728,0.0,6,0.32799999999999996,-5.914,0,0.23199999999999998,159.167,0.619,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,77
69,Fast Car,https://api.spotify.com/v1/audio-analysis/2mCF8L0brIs88eH6Kf2h9p,https://api.spotify.com/v1/tracks/2mCF8L0brIs88eH6Kf2h9p,spotify:track:2mCF8L0brIs88eH6Kf2h9p,Jonas Blue,0.455,0.56,212424,0.5920000000000001,0.0,9,0.297,-6.9510000000000005,1,0.0544,112.684,0.564,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,False,False,71
70,Congratulations,https://api.spotify.com/v1/audio-analysis/3a1lNhkSLSkpJE4MSHpDu9,https://api.spotify.com/v1/tracks/3a1lNhkSLSkpJE4MSHpDu9,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,Post Malone,0.198,0.627,220293,0.812,0.0,6,0.212,-4.215,1,0.0358,123.071,0.504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,True,False,87
71,Rather Be (feat. Jess Glynne),https://api.spotify.com/v1/audio-analysis/0am001WwFBVGDGLwRh3ixi,https://api.spotify.com/v1/tracks/0am001WwFBVGDGLwRh3ixi,spotify:track:0am001WwFBVGDGLwRh3ixi,Clean Bandit,0.162,0.799,227833,0.586,2.03e-06,11,0.193,-6.735,1,0.0377,120.97,0.5489999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,58
72,Roses,https://api.spotify.com/v1/audio-analysis/3vv9phIu6Y1vX3jcqaGz5Z,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,The Chainsmokers,0.0435,0.713,226739,0.802,0.0037700000000000003,4,0.309,-7.055,1,0.0561,100.001,0.34299999999999997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,False,False,78
73,PILLOWTALK,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,spotify:track:0PDUDa38GO8lMxLCRc4lL1,ZAYN,0.11699999999999999,0.584,202747,0.7,0.0,11,0.0939,-4.275,1,0.0456,124.944,0.43799999999999994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,False,False,79
74,Demons,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,spotify:track:3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,0.23,0.499,175200,0.73,0.00018,3,0.37799999999999995,-2.8310000000000004,1,0.0367,90.05799999999998,0.381,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,75
75,Sugar (feat. Francesco Yates),https://api.spotify.com/v1/audio-analysis/5tf1VVWniHgryyumXyJM7w,https://api.spotify.com/v1/tracks/5tf1VVWniHgryyumXyJM7w,spotify:track:5tf1VVWniHgryyumXyJM7w,Robin Schulz,0.0185,0.636,219043,0.815,0.0,5,0.163,-5.098,0,0.0581,123.06299999999999,0.636,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,False,False,79
76,Attention,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,spotify:track:4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,0.0969,0.774,211475,0.626,3.12e-05,3,0.0848,-4.4319999999999995,0,0.0432,100.041,0.777,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,90
77,Trap Queen,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,Fetty Wap,0.0244,0.746,222093,0.873,0.0,7,0.354,-3.803,1,0.128,148.075,0.8170000000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,76
78,Starving,https://api.spotify.com/v1/audio-analysis/4Ce37cRWvM1vIGGynKcs22,https://api.spotify.com/v1/tracks/4Ce37cRWvM1vIGGynKcs22,spotify:track:4Ce37cRWvM1vIGGynKcs22,Hailee Steinfeld,0.39,0.7120000000000001,181880,0.62,0.0,4,0.0994,-4.187,1,0.0888,99.95299999999999,0.494,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,77
79,I Feel It Coming,https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt,https://api.spotify.com/v1/tracks/5GXAXm5YOmYT0kL5jHvYBt,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,0.4270000000000001,0.768,269187,0.813,0.0,0,0.102,-5.94,0,0.128,92.994,0.579,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,True,False,72
80,Perfect,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,0.163,0.599,263400,0.44799999999999995,0.0,8,0.106,-6.312,1,0.0232,95.05,0.168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,96
81,Thunder,https://api.spotify.com/v1/audio-analysis/5VnDkUNyX6u5Sk0yZiP8XB,https://api.spotify.com/v1/tracks/5VnDkUNyX6u5Sk0yZiP8XB,spotify:track:5VnDkUNyX6u5Sk0yZiP8XB,Imagine Dragons,0.00782,0.604,187147,0.826,0.15,0,0.154,-4.803999999999999,1,0.0434,167.985,0.24100000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,True,False,83
82,Mi Gente,https://api.spotify.com/v1/audio-analysis/4ipnJyDU3Lq15qBAYNqlqK,https://api.spotify.com/v1/tracks/4ipnJyDU3Lq15qBAYNqlqK,spotify:track:4ipnJyDU3Lq15qBAYNqlqK,J Balvin,0.0164,0.535,189440,0.6779999999999999,1.31e-05,11,0.128,-4.9060000000000015,0,0.0998,102.681,0.287,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,True,83
83,Wake Me Up,https://api.spotify.com/v1/audio-analysis/4QRZirU4s1f30iDHzuKncj,https://api.spotify.com/v1/tracks/4QRZirU4s1f30iDHzuKncj,spotify:track:4QRZirU4s1f30iDHzuKncj,Avicii,0.00389,0.516,249693,0.8059999999999999,0.000674,2,0.115,-5.132999999999999,1,0.0538,124.118,0.5770000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,56
