,timbre_median_1,timbre_median_2,timbre_median_3,timbre_median_4,timbre_median_5,timbre_median_6,timbre_median_7,timbre_median_8,timbre_median_9,timbre_median_10,timbre_median_11,timbre_median_12
104,55.833,62.403000000000006,20.0625,-3.479,24.477,-34.218500000000006,0.095,0.2925,-12.8065,1.0705,-6.175,0.387
105,50.909499999999994,65.44999999999999,2.8440000000000003,-9.814,12.02,-26.5675,18.541,2.1345,-5.516,1.0385,-12.739,2.972
106,38.634,-32.6845,-48.085,-31.5385,15.225999999999999,-23.947000000000003,-1.0145,-0.6685,-8.0545,-0.574,-9.883500000000002,-4.782500000000001
107,50.4265,42.447,18.6675,-3.621,15.158000000000001,-22.41,3.3994999999999997,2.941,-4.3675,3.4415,-10.315,1.6355
108,51.798500000000004,45.483000000000004,-24.985,-6.814,17.609,-29.887,-5.0615000000000006,-5.756,-9.6095,3.1805,-12.79,-3.6574999999999998
109,51.2095,52.4985,2.933,2.1135,10.5015,-16.098,-3.321,3.098,-12.1955,-1.748,-10.376999999999999,-2.8120000000000003
110,54.572,70.885,1.287,-14.564,17.32,-31.216,-0.094,0.185,-0.302,6.495,-8.065,-0.563
111,52.305,45.42,-8.573,-12.626,24.184,-23.913,-2.279,-2.75,-9.288,-4.73,-9.025,-1.415
112,54.0425,86.0695,19.144,-7.449,21.382,-26.032,-0.47150000000000003,1.506,-5.9030000000000005,1.3559999999999999,-8.425,2.9085
113,46.911,41.145,-38.205,0.401,41.953,-11.241,-13.13,-5.671,-10.045,-0.929,-20.735,-1.025
114,52.8995,99.3595,23.769,6.8575,30.136,-30.549500000000002,-6.7155,9.093,-10.978000000000002,1.6525,-3.687,-3.2035
115,49.911,63.599,35.944,4.567,37.311,-27.536,19.14,-0.243,-24.864,-0.272,-11.643,-3.03
116,49.72,-6.957,-9.082,-13.184000000000001,14.8385,-18.7985,-4.3485,-0.045,0.9485,-2.3354999999999997,-10.8705,2.165
117,49.997,20.147,8.129,-8.927,8.02,-31.824,4.315,-2.444,-9.955,0.674,-7.715,-11.271
118,49.6625,78.8285,-31.88,-13.100999999999999,32.1635,-27.9785,10.8255,2.4734999999999996,-9.245,3.442,-17.174,-8.0305
119,52.309,68.352,3.132,-10.666,18.178,-26.22,3.531,3.622,0.621,3.964,-10.801,-6.395
120,52.9045,51.946,23.247,12.532,22.109499999999997,-23.924500000000002,13.347999999999999,-0.2095,-2.87,4.3215,-11.006,2.372
121,51.963,35.5305,8.0615,-16.7115,0.789,-25.9525,-7.134,-0.348,-3.524,1.1615,-8.5505,-0.3305
122,53.583,40.254,21.229,4.1055,17.477,-27.4635,10.9765,-1.058,-9.837,-2.5695,-8.5965,2.6865
123,51.9845,23.665,30.231,8.5505,17.5485,-25.0275,2.194,0.595,-13.172,1.012,-9.030999999999999,-1.4215
124,45.594,15.151499999999999,-44.138999999999996,-0.3565,8.053,-28.451,-6.189,-9.128499999999999,4.567500000000001,0.7615000000000001,-13.981,-6.5175
125,53.051,31.498,7.363,3.559,18.791,-25.583,6.138,8.525,-2.596,2.3,-15.857,-3.252
126,53.644,72.7975,8.724499999999999,0.148,-2.6705,-23.3905,19.1395,-0.258,-16.5785,1.745,-15.157,-0.796
127,44.638999999999996,-12.093,-35.902,-16.686,13.3315,-18.012999999999998,-2.585,-2.1144999999999996,3.0004999999999997,4.449,-14.489,-10.7345
128,54.844,57.397,28.417,1.712,26.664,-23.255,-0.168,0.18,-7.269,4.091,-6.726,2.946
129,51.499,25.084000000000003,-12.615,-2.697,33.139,-26.724,-11.887,-6.8985,0.062,7.382,-13.0125,-0.028
130,49.484,4.355,-16.796,-1.63,41.946,-19.134,22.765,1.541,-11.194,2.433,-19.088,-15.396
131,54.213,47.255,34.521,-1.531,51.016,-32.54,-8.932,-4.407,-7.479,-0.277,-8.913,0.755
132,51.206500000000005,46.316,18.372999999999998,-0.443,35.8995,-22.752,-12.277000000000001,-1.8875,-9.234,-0.267,-6.539,-2.924
